,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,1,Peyton Manning,0,0,Ravens,0,42,27,0,7,462,60.0,QB,0,0,0,0,0,2,0,-2,0,Ravens,0,1,0,Broncos,445,49,5.0,DST,65,3.0,0,510,0,1
1,2013,2,Peyton Manning,0,0,Giants,0,43,30,0,2,307,24.0,QB,0,0,0,0,0,3,0,-3,1,Giants,0,1,0,Broncos,307,41,2.0,DST,107,0.0,0,414,0,0
2,2013,3,Peyton Manning,0,1,Raiders,0,37,32,0,3,374,31.0,QB,0,0,0,0,0,3,0,-2,0,Raiders,0,2,0,Broncos,372,37,5.0,DST,164,1.0,0,536,0,1
3,2013,4,Peyton Manning,0,0,Eagles,0,34,28,0,4,327,37.0,QB,0,0,0,0,0,0,0,0,0,Eagles,0,0,0,Broncos,331,52,1.0,DST,141,1.0,0,472,0,1
4,2013,5,Peyton Manning,0,0,Cowboys,0,42,33,1,4,414,44.0,QB,0,0,0,0,0,4,1,-8,1,Cowboys,0,1,1,Broncos,414,51,4.0,DST,103,0.0,0,517,0,0
5,2013,6,Peyton Manning,0,2,Jaguars,0,42,28,1,2,295,19.0,QB,0,0,0,0,0,5,0,-7,0,Jaguars,0,2,1,Broncos,295,35,12.0,DST,112,0.0,0,407,1,1
6,2013,7,Peyton Manning,0,0,Colts,0,49,29,1,3,386,31.0,QB,0,0,0,0,0,1,0,-1,1,Colts,0,2,1,Broncos,365,33,12.0,DST,64,4.0,1,429,0,0
7,2013,8,Peyton Manning,0,1,Redskins,0,44,30,3,4,354,31.0,QB,0,0,0,0,0,4,0,-3,0,Redskins,0,1,3,Broncos,339,45,16.0,DST,107,2.0,0,446,1,1
8,2013,10,Peyton Manning,0,1,Chargers,0,36,25,0,4,330,36.0,QB,0,0,0,0,0,2,0,-1,1,Chargers,0,1,0,Broncos,313,28,4.0,DST,84,2.0,0,397,0,0
9,2013,11,Peyton Manning,0,1,Chiefs,0,40,24,0,1,323,17.0,QB,0,0,0,0,0,1,0,0,0,Chiefs,0,1,0,Broncos,323,27,3.0,DST,104,0.0,0,427,0,1
10,2013,12,Peyton Manning,0,0,Patriots,0,36,19,1,2,150,16.0,QB,0,0,0,0,0,1,0,0,1,Patriots,0,3,1,Broncos,132,31,10.0,DST,280,2.0,0,412,0,0
11,2013,13,Peyton Manning,0,0,Chiefs,0,35,22,2,5,403,42.0,QB,0,0,0,0,0,3,0,-3,1,Chiefs,0,0,2,Broncos,403,35,10.0,DST,132,0.0,0,535,1,0
12,2013,14,Peyton Manning,0,0,Titans,0,59,39,0,4,397,39.0,QB,0,0,0,0,0,3,0,-1,0,Titans,0,0,0,Broncos,397,51,0.0,DST,154,0.0,0,551,0,1
13,2013,15,Peyton Manning,0,0,Chargers,0,41,27,1,2,289,21.0,QB,0,0,0,0,0,0,0,0,0,Chargers,0,0,1,Broncos,277,20,7.0,DST,18,1.0,0,295,0,1
14,2013,16,Peyton Manning,0,0,Texans,0,51,32,0,4,400,40.0,QB,0,0,0,0,0,0,0,0,1,Texans,0,0,0,Broncos,397,37,1.0,DST,114,1.0,0,511,0,0
15,2013,17,Peyton Manning,0,0,Raiders,0,28,25,0,4,266,34.0,QB,0,0,0,0,0,0,0,0,1,Raiders,1,0,0,Broncos,334,34,5.0,DST,124,3.0,0,458,0,0
