,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
8300,2015,12,DeSean Jackson,0,0,Giants,0,0,0,0,0,0,12.0,WR,0,1,66,2,0,0,0,0,0
8412,2015,13,DeSean Jackson,0,1,Cowboys,0,0,0,0,0,0,13.0,WR,0,1,80,6,0,0,0,0,0
8566,2015,14,DeSean Jackson,0,0,Bears,0,0,0,0,0,0,4.0,WR,0,0,43,2,0,0,0,0,1
8637,2015,15,DeSean Jackson,0,0,Bills,0,0,0,0,0,0,21.0,WR,0,1,153,6,0,0,0,0,0
8799,2015,16,DeSean Jackson,0,0,Eagles,0,0,0,0,0,0,4.0,WR,0,0,40,4,0,0,0,0,1
9010,2012,1,DeSean Jackson,0,0,Browns,0,0,0,0,0,0,7.0,WR,0,0,77,4,0,1,0,5,1
9100,2012,2,DeSean Jackson,0,0,Ravens,0,0,0,0,0,0,11.0,WR,0,0,114,7,0,0,0,0,0
9253,2012,3,DeSean Jackson,0,0,Cardinals,0,0,0,0,0,0,4.0,WR,0,0,43,3,0,0,0,0,1
9327,2012,4,DeSean Jackson,0,0,Giants,0,0,0,0,0,0,15.0,WR,0,1,99,6,0,0,0,0,0
9459,2012,5,DeSean Jackson,0,0,Steelers,0,0,0,0,0,0,5.0,WR,0,0,58,4,0,0,0,0,1
9564,2012,6,DeSean Jackson,0,0,Lions,0,0,0,0,0,0,7.0,WR,0,0,74,5,0,1,0,-14,0
9757,2012,8,DeSean Jackson,0,0,Falcons,0,0,0,0,0,0,5.0,WR,0,0,59,5,0,0,0,0,0
9815,2012,9,DeSean Jackson,0,0,Saints,0,0,0,0,0,0,16.0,WR,0,1,100,3,0,0,0,0,1
9948,2012,10,DeSean Jackson,0,0,Cowboys,0,0,0,0,0,0,6.0,WR,0,0,62,5,0,0,0,0,0
10098,2012,11,DeSean Jackson,0,0,Redskins,0,0,0,0,0,0,0.0,WR,0,0,5,2,0,0,0,0,1
10209,2012,12,DeSean Jackson,0,0,Panthers,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,1,0,2,0
10811,2014,1,DeSean Jackson,0,0,Texans,0,0,0,0,0,0,6.0,WR,0,0,62,8,0,1,0,-9,1
10962,2014,2,DeSean Jackson,0,0,Jaguars,0,0,0,0,0,0,1.0,WR,0,0,19,1,0,0,0,0,0
10998,2014,3,DeSean Jackson,0,0,Eagles,0,0,0,0,0,0,17.0,WR,0,1,117,5,0,0,0,0,1
11212,2014,4,DeSean Jackson,0,0,Giants,0,0,0,0,0,0,0.0,WR,0,0,9,1,0,0,0,0,0
11215,2014,5,DeSean Jackson,0,0,Seahawks,0,0,0,0,0,0,21.0,WR,0,1,157,5,0,0,0,0,0
11340,2014,6,DeSean Jackson,0,0,Cardinals,0,0,0,0,0,0,17.0,WR,0,1,115,3,0,1,0,5,1
11504,2014,7,DeSean Jackson,0,0,Titans,0,0,0,0,0,0,4.0,WR,0,0,49,3,0,0,0,0,0
11570,2014,8,DeSean Jackson,0,0,Cowboys,0,0,0,0,0,0,13.0,WR,0,0,136,6,0,0,0,0,1
11670,2014,9,DeSean Jackson,0,0,Min,0,0,0,0,0,0,18.0,WR,0,1,120,4,0,0,0,0,1
11920,2014,11,DeSean Jackson,0,0,Buccaneers,0,0,0,0,0,0,3.0,WR,0,0,35,4,0,1,0,2,0
12021,2014,12,DeSean Jackson,0,0,49ers,0,0,0,0,0,0,3.0,WR,0,0,39,2,0,0,0,0,1
12072,2014,13,DeSean Jackson,0,0,Colts,0,0,0,0,0,0,14.0,WR,0,1,84,5,0,0,0,0,1
12373,2014,15,DeSean Jackson,0,0,Giants,0,0,0,0,0,0,1.0,WR,0,0,15,3,0,1,0,9,1
12410,2014,16,DeSean Jackson,0,0,Eagles,0,0,0,0,0,0,12.0,WR,0,0,126,4,0,0,0,0,0
12517,2014,17,DeSean Jackson,0,0,Cowboys,0,0,0,0,0,0,14.0,WR,0,1,86,2,0,0,0,0,0
