,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,1,Arian Foster,0,0,Dolphins,0,0,0,0,0,0,19.0,RB,0,0,-4,1,0,26,2,79,0,Dolphins,0,0,0,Texans,254,30,8.0,DST,83,2.0,0,337,1,1
1,2012,2,Arian Foster,0,0,Jaguars,0,0,0,0,0,0,20.0,RB,0,0,37,6,0,28,1,110,1,Jaguars,0,0,0,Texans,195,27,1.0,DST,216,0.0,0,411,0,0
2,2012,3,Arian Foster,0,0,Broncos,0,0,0,0,0,0,16.0,RB,0,1,3,1,0,25,0,105,1,Broncos,0,1,1,Texans,284,31,7.0,DST,152,1.0,1,436,0,0
3,2012,4,Arian Foster,0,0,Titans,0,0,0,0,0,0,14.0,RB,0,0,8,1,0,24,1,86,0,Titans,0,0,0,Texans,202,38,0.0,DST,95,0.0,0,297,0,1
4,2012,5,Arian Foster,0,0,Jets,0,0,0,0,0,0,22.0,RB,0,0,16,1,0,29,1,152,1,Jets,0,0,1,Texans,209,23,9.0,DST,169,0.0,0,378,1,0
5,2012,6,Arian Foster,0,0,Packers,0,0,0,0,0,0,15.0,RB,0,0,12,1,0,17,2,29,0,Packers,0,0,3,Texans,231,24,10.0,DST,90,3.0,0,321,0,1
6,2012,7,Arian Foster,0,0,Ravens,0,0,0,0,0,0,21.0,RB,0,0,5,1,0,19,2,98,0,Ravens,0,0,0,Texans,239,43,2.0,DST,181,2.0,0,420,0,1
7,2012,9,Arian Foster,0,0,Bills,0,0,0,0,0,0,17.0,RB,0,0,0,0,0,24,1,111,0,Bills,1,0,0,Texans,256,21,5.0,DST,118,2.0,0,374,0,1
8,2012,10,Arian Foster,0,0,Bears,0,0,0,0,0,0,17.0,RB,0,1,15,5,0,29,0,102,1,Bears,0,0,2,Texans,88,13,12.0,DST,127,1.0,0,215,0,0
9,2012,11,Arian Foster,0,1,Jaguars,0,0,0,0,0,0,9.0,RB,0,0,15,3,0,28,0,90,0,Jaguars,0,1,2,Texans,504,43,8.0,DST,149,2.0,0,653,0,1
10,2012,12,Arian Foster,0,0,Lions,0,0,0,0,0,0,23.0,RB,0,0,15,5,0,20,2,102,1,Lions,0,0,1,Texans,296,34,4.0,DST,205,2.0,0,501,0,0
11,2012,13,Arian Foster,0,0,Titans,0,0,0,0,0,0,10.0,RB,0,0,15,5,0,14,1,38,1,Titans,0,0,0,Texans,207,24,1.0,DST,124,0.0,0,331,0,0
12,2012,14,Arian Foster,0,0,Patriots,0,0,0,0,0,0,13.0,RB,0,0,39,4,0,15,1,46,1,Patriots,0,0,1,Texans,223,14,14.0,DST,100,2.0,0,323,1,0
13,2012,15,Arian Foster,0,0,Colts,0,0,0,0,0,0,16.0,RB,0,0,4,2,0,27,0,165,0,Colts,0,0,0,Texans,239,29,3.0,DST,178,3.0,0,417,0,1
14,2012,17,Arian Foster,0,0,Colts,0,0,0,0,0,0,17.0,RB,0,0,23,2,0,16,1,96,1,Colts,0,0,2,Texans,250,16,18.0,DST,102,4.0,0,352,1,0
