,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
7201,2015.0,1,Tyler Lockett,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,1.0
7351,2015.0,2,Tyler Lockett,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,3.0,WR,0.0,0.0,34.0,4.0,0.0,0.0,0.0,0.0,1.0
7540,2015.0,4,Tyler Lockett,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,2.0,WR,0.0,0.0,25.5,3.0,0.0,0.0,0.0,0.0,1.0
7657,2015.0,5,Tyler Lockett,0.0,0.3333333333333333,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,WR,0.0,0.0,36.333333333333336,3.3333333333333335,0.0,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666
7801,2015.0,7,Tyler Lockett,0.0,0.25,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.5,WR,0.0,0.0,34.5,3.0,0.0,0.25,0.0,0.25,0.75
7940,2015.0,8,Tyler Lockett,0.0,0.2,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,4.6,WR,0.0,0.2,43.4,3.4,0.0,0.2,0.0,0.2,0.8
8174,2015.0,10,Tyler Lockett,0.0,0.16666666666666666,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,4.333333333333333,WR,0.0,0.16666666666666666,42.166666666666664,3.3333333333333335,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334
8189,2015.0,11,Tyler Lockett,0.0,0.14285714285714285,49ers,0.0,0.0,0.0,0.0,0.0,0.0,3.7142857142857144,WR,0.0,0.14285714285714285,37.142857142857146,3.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.7142857142857143
8343,2015.0,12,Tyler Lockett,0.0,0.125,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,5.25,WR,0.0,0.375,38.5,3.125,0.0,0.25,0.0,0.75,0.625
8428,2015.0,13,Tyler Lockett,0.0,0.1111111111111111,Min,0.0,0.0,0.0,0.0,0.0,0.0,5.0,WR,0.0,0.3333333333333333,38.44444444444444,3.111111111111111,0.0,0.2222222222222222,0.0,0.6666666666666666,0.5555555555555556
8516,2015.0,14,Tyler Lockett,0.0,0.1,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,5.4,WR,0.0,0.3,43.6,3.5,0.0,0.3,0.0,1.3,0.6
8656,2015.0,15,Tyler Lockett,0.0,0.09090909090909091,Browns,0.0,0.0,0.0,0.0,0.0,0.0,6.909090909090909,WR,0.0,0.45454545454545453,49.09090909090909,3.727272727272727,0.0,0.2727272727272727,0.0,1.1818181818181819,0.6363636363636364
8807,2015.0,16,Tyler Lockett,0.0,0.08333333333333333,Rams,0.0,0.0,0.0,0.0,0.0,0.0,7.25,WR,0.0,0.5,49.583333333333336,3.8333333333333335,0.0,0.25,0.0,1.0833333333333333,0.5833333333333334
8925,2015.0,17,Tyler Lockett,0.0,0.07692307692307693,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,6.923076923076923,WR,0.0,0.46153846153846156,48.30769230769231,3.769230769230769,0.0,0.23076923076923078,0.0,1.0,0.5384615384615384
