,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
8614,2012.0,1,Robert Turbin,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
8676,2012.0,2,Robert Turbin,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
8849,2012.0,4,Robert Turbin,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,1.5,RB,0.0,0.0,13.0,1.5,0.0,3.5,0.0,10.0,0.5
8965,2012.0,5,Robert Turbin,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,RB,0.0,0.0,13.0,1.6666666666666667,0.0,4.333333333333333,0.0,21.666666666666668,0.6666666666666666
9020,2012.0,6,Robert Turbin,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,2.0,RB,0.0,0.0,11.75,1.75,0.0,4.25,0.0,17.75,0.75
9111,2012.0,7,Robert Turbin,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.4,RB,0.0,0.0,13.6,1.8,0.0,4.4,0.0,19.6,0.6
9179,2012.0,8,Robert Turbin,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,2.1666666666666665,RB,0.0,0.0,11.333333333333334,1.5,0.0,4.333333333333333,0.0,19.166666666666668,0.6666666666666666
9258,2012.0,9,Robert Turbin,0.0,0.0,Min,0.0,0.0,0.0,0.0,0.0,0.0,2.2857142857142856,RB,0.0,0.0,13.714285714285714,1.5714285714285714,0.0,4.285714285714286,0.0,18.428571428571427,0.7142857142857143
9346,2012.0,10,Robert Turbin,0.0,0.0,Jets,0.0,0.0,0.0,0.0,0.0,0.0,2.25,RB,0.0,0.0,13.125,1.5,0.0,4.375,0.0,18.75,0.625
9494,2012.0,12,Robert Turbin,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,2.111111111111111,RB,0.0,0.0,11.666666666666666,1.3333333333333333,0.0,4.666666666666667,0.0,18.555555555555557,0.5555555555555556
9607,2012.0,13,Robert Turbin,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,2.3,RB,0.0,0.0,15.2,1.5,0.0,4.4,0.0,17.6,0.6
9645,2012.0,14,Robert Turbin,0.0,0.0,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,2.090909090909091,RB,0.0,0.0,13.818181818181818,1.3636363636363635,0.0,4.090909090909091,0.0,16.545454545454547,0.6363636363636364
9752,2012.0,15,Robert Turbin,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,2.75,RB,0.0,0.0,12.666666666666666,1.25,0.0,5.416666666666667,0.0,24.166666666666668,0.5833333333333334
9841,2012.0,16,Robert Turbin,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,2.769230769230769,RB,0.0,0.0,11.461538461538462,1.2307692307692308,0.0,5.769230769230769,0.0,24.692307692307693,0.6153846153846154
9954,2012.0,17,Robert Turbin,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,2.9285714285714284,RB,0.0,0.0,12.071428571428571,1.2857142857142858,0.0,5.571428571428571,0.0,25.642857142857142,0.5714285714285714
