,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,C.J. Anderson,0,0,Panthers,0,0,0,0,0,0,25.0,RB,0,1,47,4,0,20,1,92,0,Panthers,0,1,2,Broncos,159,21,9.0,DST,148,2.0,0,307,0,1
1,2016,2,C.J. Anderson,0,0,Colts,0,0,0,0,0,0,14.0,RB,0,0,19,3,0,20,1,74,0,Colts,0,0,1,Broncos,266,34,3.0,DST,134,1.0,0,400,0,1
2,2016,3,C.J. Anderson,0,0,Bengals,0,0,0,0,0,0,3.0,RB,0,0,4,1,0,14,0,37,1,Bengals,1,1,0,Broncos,303,29,6.0,DST,52,2.0,0,355,0,0
3,2016,4,C.J. Anderson,0,0,Buccaneers,0,0,0,0,0,0,10.0,RB,0,0,3,1,0,19,1,49,1,Buccaneers,0,0,0,Broncos,218,27,5.0,DST,89,4.0,0,307,0,0
4,2016,5,C.J. Anderson,0,0,Falcons,0,0,0,0,0,0,6.0,RB,0,0,21,3,0,11,0,41,0,Falcons,0,0,1,Broncos,183,16,12.0,DST,84,6.0,0,267,0,1
5,2016,6,C.J. Anderson,0,0,Chargers,0,0,0,0,0,0,6.0,RB,0,0,34,4,0,10,0,37,1,Chargers,0,2,0,Broncos,220,13,15.0,DST,84,2.0,1,304,0,0
6,2016,7,C.J. Anderson,0,0,Texans,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,16,1,107,0,Texans,0,0,0,Broncos,157,27,1.0,DST,190,0.0,0,347,0,1
7,2015,1,C.J. Anderson,0,0,Ravens,0,0,0,0,0,0,3.0,RB,0,0,19,4,0,12,0,29,0,Ravens,0,0,1,Broncos,150,19,16.0,DST,69,4.0,0,219,1,1
8,2015,2,C.J. Anderson,0,0,Chiefs,0,0,0,0,0,0,2.0,RB,0,0,2,1,0,12,0,27,1,Chiefs,0,0,1,Broncos,238,31,11.0,DST,61,3.0,0,299,1,0
9,2015,3,C.J. Anderson,0,0,Lions,0,0,0,0,0,0,1.0,RB,0,0,9,1,0,8,0,18,1,Lions,0,1,1,Broncos,313,24,6.0,DST,41,1.0,0,354,0,0
10,2015,5,C.J. Anderson,0,0,Raiders,0,0,0,0,0,0,3.0,RB,0,0,18,2,0,11,0,22,1,Raiders,0,0,2,Broncos,254,16,10.0,DST,43,2.0,0,297,0,0
11,2015,6,C.J. Anderson,0,0,Browns,0,0,0,0,0,0,6.0,RB,0,0,25,4,0,13,0,41,1,Browns,0,0,3,Broncos,290,26,13.0,DST,152,0.0,0,442,1,0
12,2015,8,C.J. Anderson,0,0,Packers,0,0,0,0,0,0,16.0,RB,0,0,5,1,0,14,1,101,0,Packers,0,0,1,Broncos,340,29,2.0,DST,160,0.0,0,500,0,1
13,2015,9,C.J. Anderson,0,0,Colts,0,0,0,0,0,0,3.0,RB,0,0,4,1,0,7,0,34,1,Colts,0,0,2,Broncos,274,24,6.0,DST,35,1.0,0,309,0,0
14,2015,10,C.J. Anderson,0,0,Chiefs,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,9,0,Chiefs,0,0,5,Broncos,152,13,22.0,DST,69,5.0,0,221,0,1
15,2015,11,C.J. Anderson,0,0,Bears,0,0,0,0,0,0,6.0,RB,0,0,13,2,0,12,0,59,1,Bears,0,0,0,Broncos,219,17,9.0,DST,170,5.0,0,389,0,0
16,2015,12,C.J. Anderson,0,0,Patriots,0,0,0,0,0,0,27.0,RB,0,0,40,4,0,15,2,113,0,Patriots,0,0,1,Broncos,254,30,5.0,DST,179,3.0,0,433,0,1
17,2015,13,C.J. Anderson,0,0,Chargers,0,0,0,0,0,0,5.0,RB,0,0,12,1,0,7,0,42,1,Chargers,0,0,1,Broncos,159,17,7.0,DST,134,1.0,0,293,0,0
18,2015,15,C.J. Anderson,0,0,Steelers,0,0,0,0,0,0,1.0,RB,0,0,6,1,0,4,0,14,1,Steelers,0,1,1,Broncos,281,27,7.0,DST,104,2.0,0,385,0,0
19,2015,16,C.J. Anderson,0,1,Bengals,0,0,0,0,0,0,12.0,RB,0,0,8,1,0,9,1,73,0,Bengals,0,1,0,Broncos,277,20,9.0,DST,113,3.0,0,390,0,1
20,2015,17,C.J. Anderson,0,1,Chargers,0,0,0,0,0,0,14.0,RB,0,0,-5,1,0,15,1,95,0,Chargers,0,3,2,Broncos,293,27,13.0,DST,210,2.0,0,503,0,1
21,2013,8,C.J. Anderson,0,0,Redskins,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,4,0,22,0,Redskins,0,1,3,Broncos,339,45,16.0,DST,107,2.0,0,446,1,1
22,2013,12,C.J. Anderson,0,0,Patriots,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,3,0,16,1,Patriots,0,3,1,Broncos,132,31,10.0,DST,280,2.0,0,412,0,0
23,2014,1,C.J. Anderson,0,0,Colts,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,4,0,27,0,Colts,0,0,0,Broncos,259,31,1.0,DST,102,1.0,0,361,0,1
24,2014,2,C.J. Anderson,0,0,Chiefs,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,5,0,31,0,Chiefs,0,0,0,Broncos,237,24,2.0,DST,88,1.0,0,325,0,1
25,2014,3,C.J. Anderson,0,0,Seahawks,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,2,0,-3,1,Seahawks,0,1,1,Broncos,296,20,9.0,DST,36,1.0,0,332,0,0
26,2014,7,C.J. Anderson,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,9,0,49ers,0,0,0,Broncos,304,42,2.0,DST,115,2.0,0,419,0,1
27,2014,8,C.J. Anderson,0,0,Chargers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,0,0,Chargers,0,0,0,Broncos,286,35,0.0,DST,139,0.0,0,425,0,1
28,2014,9,C.J. Anderson,0,0,Patriots,0,0,0,0,0,0,4.0,RB,0,0,33,3,0,3,0,18,1,Patriots,0,0,2,Broncos,429,21,12.0,DST,43,1.0,0,472,1,0
29,2014,10,C.J. Anderson,0,0,Raiders,0,0,0,0,0,0,22.0,RB,0,1,73,4,0,13,0,90,1,Raiders,0,0,2,Broncos,353,41,4.0,DST,118,0.0,0,471,0,0
30,2014,11,C.J. Anderson,0,0,Rams,0,0,0,0,0,0,10.0,RB,0,0,86,8,0,9,0,29,1,Rams,0,0,2,Broncos,369,7,13.0,DST,28,2.0,0,397,0,0
31,2014,12,C.J. Anderson,0,0,Dolphins,0,0,0,0,0,0,24.0,RB,0,0,28,4,0,27,1,167,0,Dolphins,0,1,0,Broncos,249,39,3.0,DST,201,1.0,0,450,0,1
32,2014,13,C.J. Anderson,0,0,Chiefs,0,0,0,0,0,0,23.0,RB,0,1,17,2,0,32,0,168,1,Chiefs,0,1,0,Broncos,174,29,3.0,DST,214,1.0,0,388,0,0
33,2014,14,C.J. Anderson,0,0,Bills,0,0,0,0,0,0,23.0,RB,0,0,0,0,0,21,3,58,0,Bills,0,1,2,Broncos,173,24,7.0,DST,133,0.0,0,306,0,1
