,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011.0,1,Jimmy Graham,0.0,0.0,Packers,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TE,0.0,1.0,56.0,4.0,0.0,0.0,0.0,0.0,1.0,Packers,0.0,1.0,0.0,Saints,396.0,34.0,11.0,DST,81.0,3.0,0.0,477.0,1.0,0.0
1,2011.0,2,Jimmy Graham,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,11.0,TE,0.0,1.0,56.0,4.0,0.0,0.0,0.0,0.0,1.0,Bears,0.0,2.0,1.0,Saints,276.0,12.0,24.0,DST,110.0,5.0,0.0,386.0,1.0,0.0
2,2011.0,3,Jimmy Graham,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,9.0,TE,0.0,0.5,67.5,5.0,0.0,0.0,0.0,0.0,0.5,Texans,0.5,1.5,0.5,Saints,162.5,10.0,17.5,DST,108.5,2.5,0.0,271.0,0.5,0.5
3,2011.0,4,Jimmy Graham,0.0,0.0,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,11.333333333333336,TE,0.0,0.6666666666666666,78.33333333333333,4.666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,Jaguars,0.0,0.0,1.0,Saints,196.33333333333331,20.666666666666668,5.666666666666668,DST,83.66666666666667,1.0,0.0,280.0,0.0,0.6666666666666666
4,2011.0,5,Jimmy Graham,0.0,0.0,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,13.25,TE,0.0,0.75,91.75,6.0,0.0,0.0,0.0,0.0,0.5,Panthers,0.0,0.5,0.5,Saints,203.0,25.5,5.75,DST,143.75,1.5,0.25,346.75,0.0,0.5
5,2011.0,6,Jimmy Graham,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,13.0,TE,0.0,0.6,99.2,6.4,0.0,0.0,0.0,0.0,0.6,Buccaneers,0.0,1.0,0.4,Saints,254.6,25.0,9.2,DST,123.4,2.0,0.0,378.0,0.2,0.4
6,2011.0,7,Jimmy Graham,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,12.833333333333336,TE,0.0,0.5,103.33333333333331,6.5,0.0,0.0,0.0,0.0,0.6666666666666666,Colts,0.0,0.6666666666666666,0.5,Saints,255.83333333333331,27.16666666666667,5.5,DST,136.66666666666666,1.5,0.0,392.5,0.16666666666666666,0.5
7,2011.0,8,Jimmy Graham,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,13.428571428571427,TE,0.0,0.7142857142857143,96.28571428571428,6.428571428571429,0.0,0.0,0.0,0.0,0.5714285714285714,Rams,0.0,0.5,0.6666666666666666,Saints,226.5,28.5,5.0,DST,183.83333333333331,1.8333333333333333,0.0,410.33333333333326,0.0,0.5
8,2011.0,9,Jimmy Graham,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,12.125,TE,0.0,0.625,89.125,6.125,0.0,0.0,0.0,0.0,0.625,Buccaneers,0.0,0.8571428571428571,1.0,Saints,267.7142857142857,24.142857142857146,9.571428571428571,DST,123.42857142857143,1.7142857142857142,0.14285714285714285,391.1428571428572,0.14285714285714285,0.2857142857142857
9,2011.0,10,Jimmy Graham,0.0,0.0,Falcons,0.0,0.0,0.0,0.0,0.0,0.0,11.555555555555555,TE,0.0,0.5555555555555556,87.8888888888889,6.111111111111112,0.0,0.0,0.0,0.0,0.5555555555555556,Falcons,0.0,0.625,1.25,Saints,245.25,21.25,8.875,DST,96.5,1.875,0.0,341.75,0.125,0.625
10,2011.0,12,Jimmy Graham,0.0,0.0,Giants,0.0,0.0,0.0,0.0,0.0,0.0,11.8,TE,0.0,0.6,87.3,6.2,0.0,0.0,0.0,0.0,0.6,Giants,0.0,0.8,1.4,Saints,239.1,22.8,10.4,DST,123.0,3.1,0.0,362.1,0.1,0.5
11,2011.0,13,Jimmy Graham,0.0,0.0,Lions,0.0,0.0,0.0,0.0,0.0,0.0,12.545454545454545,TE,0.0,0.7272727272727273,87.0,6.090909090909091,0.0,0.0,0.0,0.0,0.5454545454545454,Lions,0.0,0.7272727272727273,1.3636363636363635,Saints,202.1818181818182,22.363636363636363,11.909090909090908,DST,127.27272727272728,2.636363636363636,0.0,329.45454545454544,0.3636363636363637,0.4545454545454545
12,2011.0,14,Jimmy Graham,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,12.166666666666664,TE,0.0,0.6666666666666666,87.16666666666669,6.25,0.0,0.0,0.0,0.0,0.5,Titans,0.16666666666666666,0.8333333333333334,0.8333333333333334,Saints,233.5,19.08333333333333,11.583333333333336,DST,122.41666666666669,1.8333333333333333,0.0,355.91666666666674,0.3333333333333333,0.5
