,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Justin Forsett,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,8,3,0,3,0,3,1,49ers,0,2,1,Seahawks,155,17,27.0,DST,64,5.0,0,219,2,0
1,2011,2,Justin Forsett,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,20,3,0,3,0,10,1,Steelers,0,0,0,Seahawks,133,0,15.0,DST,31,5.0,0,164,0,0
2,2011,3,Justin Forsett,0,0,Cardinals,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,1,0,0,0,Cardinals,0,0,1,Seahawks,139,13,13.0,DST,122,4.0,0,261,0,1
3,2011,4,Justin Forsett,0,0,Falcons,0,0,0,0,0,0,4.0,RB,0,0,30,3,0,3,0,11,0,Falcons,0,0,2,Seahawks,319,28,4.0,DST,53,0.0,0,372,0,1
4,2011,5,Justin Forsett,0,0,Giants,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,9,1,Giants,0,2,1,Seahawks,279,36,12.0,DST,145,6.0,0,424,0,0
5,2011,7,Justin Forsett,0,0,Browns,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,8,0,23,1,Browns,0,1,1,Seahawks,69,3,18.0,DST,68,4.0,0,137,0,0
6,2011,8,Justin Forsett,0,0,Bengals,0,0,0,0,0,0,1.0,RB,0,0,13,1,0,0,0,0,0,Bengals,0,1,1,Seahawks,350,12,27.0,DST,61,4.0,0,411,2,1
7,2011,9,Justin Forsett,0,0,Cowboys,0,0,0,0,0,0,1.0,RB,0,0,14,2,0,2,0,8,1,Cowboys,1,0,3,Seahawks,219,13,16.0,DST,162,1.0,0,381,0,0
8,2011,10,Justin Forsett,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,0,Ravens,0,0,0,Seahawks,208,22,2.0,DST,119,1.0,0,327,0,1
9,2011,11,Justin Forsett,0,0,Rams,0,0,0,0,0,0,9.0,RB,0,0,2,1,0,4,1,31,1,Rams,0,0,2,Seahawks,163,24,9.0,DST,126,4.0,0,289,0,0
10,2011,12,Justin Forsett,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,1,1,0,1,0,1,0,Redskins,0,0,1,Seahawks,126,17,8.0,DST,124,2.0,0,250,0,1
11,2011,13,Justin Forsett,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,5,0,Eagles,0,0,0,Seahawks,173,31,3.0,DST,174,3.0,0,347,0,1
12,2011,14,Justin Forsett,0,0,Rams,0,0,0,0,0,0,1.0,RB,0,0,14,2,0,1,0,8,0,Rams,0,1,0,Seahawks,214,30,4.0,DST,145,2.0,0,359,0,1
13,2011,15,Justin Forsett,0,0,Bears,0,0,0,0,0,0,1.0,RB,0,0,9,1,0,6,0,12,1,Bears,0,1,0,Seahawks,226,38,9.0,DST,60,1.0,0,286,1,0
14,2011,16,Justin Forsett,0,0,49ers,0,0,0,0,0,0,2.0,RB,0,0,20,2,0,1,0,5,0,49ers,0,1,0,Seahawks,141,17,10.0,DST,124,4.0,0,265,0,1
15,2011,17,Justin Forsett,0,0,Cardinals,0,0,0,0,0,0,1.0,RB,0,0,-4,3,0,6,0,16,1,Cardinals,1,0,1,Seahawks,191,20,12.0,DST,178,4.0,0,369,0,0
16,2016,1,Justin Forsett,0,0,Bills,0,0,0,0,0,0,5.0,RB,0,0,15,2,0,10,0,41,0,Bills,0,1,0,Ravens,225,13,13.0,DST,83,4.0,0,308,0,1
17,2016,2,Justin Forsett,0,0,Browns,0,0,0,0,0,0,3.0,RB,0,0,9,3,0,14,0,37,1,Browns,0,0,2,Ravens,302,25,5.0,DST,80,0.0,0,382,0,0
18,2016,3,Justin Forsett,0,0,Jaguars,0,0,0,0,0,0,3.0,RB,0,0,12,6,0,7,0,20,1,Jaguars,0,1,2,Ravens,199,19,12.0,DST,84,2.0,0,283,0,0
19,2016,7,Justin Forsett,0,0,Redskins,0,0,0,0,0,0,4.0,RB,0,0,15,2,0,8,0,33,0,Redskins,0,0,0,Lions,250,20,7.0,DST,94,3.0,0,344,0,1
20,2016,14,Justin Forsett,0,1,Titans,0,0,0,0,0,0,1.0,RB,0,0,18,3,0,6,0,17,1,Titans,0,2,0,Broncos,330,10,14.0,DST,18,3.0,0,348,0,0
21,2016,15,Justin Forsett,0,0,Patriots,0,0,0,0,0,0,4.0,RB,0,0,16,4,0,10,0,37,0,Patriots,0,2,1,Broncos,251,3,20.0,DST,58,4.0,0,309,0,1
22,2016,16,Justin Forsett,0,0,Chiefs,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,5,1,11,1,Chiefs,0,2,1,Broncos,183,10,13.0,DST,63,0.0,0,246,0,0
23,2016,17,Justin Forsett,0,0,Raiders,0,0,0,0,0,0,9.0,RB,0,0,0,0,0,22,0,90,0,Raiders,0,0,1,Broncos,206,24,3.0,DST,143,0.0,0,349,0,1
24,2010,1,Justin Forsett,0,0,49ers,0,0,0,0,0,0,5.0,RB,0,0,17,3,0,7,0,43,0,49ers,0,0,1,Seahawks,165,31,3.0,DST,77,1.0,0,242,0,1
25,2010,2,Justin Forsett,0,0,Broncos,0,0,0,0,0,0,4.0,RB,0,0,8,1,0,8,0,44,1,Broncos,0,1,3,Seahawks,230,14,13.0,DST,109,1.0,0,339,0,0
