,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Leon Washington,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,7,1,0,0,0,0,1,49ers,0,2,1,Seahawks,155,17,27.0,DST,64,5.0,0,219,2,0
1,2011,2,Leon Washington,0,0,Steelers,0,0,0,0,0,0,0.0,RB,0,0,9,1,0,1,0,-2,1,Steelers,0,0,0,Seahawks,133,0,15.0,DST,31,5.0,0,164,0,0
2,2011,3,Leon Washington,0,0,Cardinals,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,3,0,29,0,Cardinals,0,0,1,Seahawks,139,13,13.0,DST,122,4.0,0,261,0,1
3,2011,4,Leon Washington,0,0,Falcons,0,0,0,0,0,0,0.0,RB,0,0,4,1,0,2,0,2,0,Falcons,0,0,2,Seahawks,319,28,4.0,DST,53,0.0,0,372,0,1
4,2011,5,Leon Washington,0,0,Giants,0,0,0,0,0,0,1.0,RB,0,0,6,1,0,3,0,10,1,Giants,0,2,1,Seahawks,279,36,12.0,DST,145,6.0,0,424,0,0
5,2011,7,Leon Washington,0,0,Browns,0,0,0,0,0,0,4.0,RB,0,0,10,4,0,7,0,39,1,Browns,0,1,1,Seahawks,69,3,18.0,DST,68,4.0,0,137,0,0
6,2011,8,Leon Washington,0,0,Bengals,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,2,0,34,0,Bengals,0,1,1,Seahawks,350,12,27.0,DST,61,4.0,0,411,2,1
7,2011,9,Leon Washington,0,0,Cowboys,0,0,0,0,0,0,1.0,RB,0,0,0,0,0,3,0,16,1,Cowboys,1,0,3,Seahawks,219,13,16.0,DST,162,1.0,0,381,0,0
8,2011,10,Leon Washington,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,9,0,Ravens,0,0,0,Seahawks,208,22,2.0,DST,119,1.0,0,327,0,1
9,2011,11,Leon Washington,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,6,0,-3,1,Rams,0,0,2,Seahawks,163,24,9.0,DST,126,4.0,0,289,0,0
10,2011,12,Leon Washington,0,0,Redskins,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,4,0,9,0,Redskins,0,0,1,Seahawks,126,17,8.0,DST,124,2.0,0,250,0,1
11,2011,13,Leon Washington,0,0,Eagles,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,6,0,9,0,Eagles,0,0,0,Seahawks,173,31,3.0,DST,174,3.0,0,347,0,1
12,2011,14,Leon Washington,0,0,Rams,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,1,0,3,0,Rams,0,1,0,Seahawks,214,30,4.0,DST,145,2.0,0,359,0,1
13,2011,15,Leon Washington,0,0,Bears,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,3,0,6,1,Bears,0,1,0,Seahawks,226,38,9.0,DST,60,1.0,0,286,1,0
14,2011,16,Leon Washington,0,0,49ers,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,2,0,9,0,49ers,0,1,0,Seahawks,141,17,10.0,DST,124,4.0,0,265,0,1
15,2011,17,Leon Washington,0,0,Cardinals,0,0,0,0,0,0,14.0,RB,0,0,12,2,0,7,1,78,1,Cardinals,1,0,1,Seahawks,191,20,12.0,DST,178,4.0,0,369,0,0
