,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,Mike Gillislee,0,0,Ravens,0,0,0,0,0,0,0.0,RB,0,0,-4,1,0,0,0,0,1,Ravens,0,0,0,Bills,95,7,9.0,DST,65,2.0,0,160,0,0
1,2016,2,Mike Gillislee,0,0,Jets,0,0,0,0,0,0,7.0,RB,0,1,18,1,0,0,0,0,0,Jets,0,0,1,Bills,307,31,2.0,DST,86,0.0,0,393,0,1
2,2016,3,Mike Gillislee,0,0,Cardinals,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,3,0,20,0,Cardinals,0,0,1,Bills,89,33,8.0,DST,208,4.0,1,297,0,1
3,2016,4,Mike Gillislee,0,0,Patriots,0,0,0,0,0,0,4.0,RB,0,0,13,1,0,6,0,30,1,Patriots,0,0,0,Bills,244,16,6.0,DST,134,2.0,0,378,0,0
4,2016,6,Mike Gillislee,0,0,49ers,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,6,1,61,0,49ers,0,2,0,Bills,179,45,7.0,DST,313,3.0,0,492,0,1
5,2016,7,Mike Gillislee,0,0,Dolphins,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,5,0,20,1,Dolphins,0,0,0,Bills,200,25,5.0,DST,67,4.0,0,267,0,0
6,2016,8,Mike Gillislee,0,0,Patriots,0,0,0,0,0,0,14.0,RB,0,0,9,3,0,12,1,85,0,Patriots,0,0,0,Bills,209,25,3.0,DST,167,2.0,0,376,0,1
7,2016,9,Mike Gillislee,0,0,Seahawks,0,0,0,0,0,0,9.0,RB,0,0,4,2,0,8,1,32,1,Seahawks,0,0,1,Bills,263,25,8.0,DST,162,5.0,0,425,0,0
8,2016,11,Mike Gillislee,0,0,Bengals,0,0,0,0,0,0,7.0,RB,0,0,0,0,0,14,0,72,1,Bengals,0,0,1,Bills,159,16,8.0,DST,183,2.0,0,342,0,0
9,2016,13,Mike Gillislee,0,0,Raiders,0,0,0,0,0,0,16.0,RB,0,0,0,0,0,8,2,49,1,Raiders,0,1,1,Bills,170,24,9.0,DST,212,4.0,0,382,0,0
10,2016,14,Mike Gillislee,0,0,Steelers,0,0,0,0,0,0,3.0,RB,0,0,0,0,0,2,0,34,0,Steelers,0,0,1,Bills,208,20,11.0,DST,67,5.0,0,275,0,1
11,2016,15,Mike Gillislee,0,0,Browns,0,0,0,0,0,0,9.0,RB,0,0,0,0,0,9,1,37,0,Browns,0,0,0,Bills,171,33,1.0,DST,280,1.0,0,451,0,1
12,2016,16,Mike Gillislee,0,0,Dolphins,0,0,0,0,0,0,9.0,RB,0,0,0,0,0,11,0,91,0,Dolphins,0,0,0,Bills,317,31,2.0,DST,272,2.0,0,589,0,1
13,2016,17,Mike Gillislee,0,0,Jets,0,0,0,0,0,0,11.0,RB,0,0,10,1,0,15,1,40,1,Jets,0,2,1,Bills,162,10,22.0,DST,68,3.0,0,230,1,0
