,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
4290,2015.0,1,David Johnson,0.0,0.0,Saints,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
4379,2015.0,2,David Johnson,0.0,0.0,Bears,0.0,0.0,0.0,0.0,0.0,0.0,11.0,RB,0.0,1.0,55.0,1.0,0.0,0.0,0.0,0.0,0.0
4508,2015.0,3,David Johnson,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,10.5,RB,0.0,0.5,29.0,1.0,0.0,2.5,0.5,21.0,0.5
4570,2015.0,4,David Johnson,0.0,0.0,Rams,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.3333333333333333,24.666666666666668,1.6666666666666667,0.0,4.0,0.3333333333333333,22.333333333333332,0.3333333333333333
4655,2015.0,5,David Johnson,0.0,0.25,Lions,0.0,0.0,0.0,0.0,0.0,0.0,9.0,RB,0.0,0.5,34.25,2.25,0.0,3.75,0.25,21.25,0.25
4794,2015.0,6,David Johnson,0.0,0.2,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,9.6,RB,0.0,0.4,27.4,1.8,0.0,3.6,0.6,18.2,0.4
4859,2015.0,7,David Johnson,0.0,0.16666666666666666,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,8.0,RB,0.0,0.3333333333333333,24.166666666666668,1.6666666666666667,0.0,3.5,0.5,16.666666666666668,0.5
4922,2015.0,8,David Johnson,0.0,0.14285714285714285,Browns,0.0,0.0,0.0,0.0,0.0,0.0,7.0,RB,0.0,0.2857142857142857,23.428571428571427,1.7142857142857142,0.0,3.4285714285714284,0.42857142857142855,15.0,0.42857142857142855
5091,2015.0,10,David Johnson,0.0,0.125,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,6.625,RB,0.0,0.25,26.0,1.75,0.0,3.125,0.375,13.625,0.5
5124,2015.0,11,David Johnson,0.0,0.1111111111111111,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,5.888888888888889,RB,0.0,0.2222222222222222,24.0,1.6666666666666667,0.0,2.7777777777777777,0.3333333333333333,12.11111111111111,0.5555555555555556
5193,2015.0,12,David Johnson,0.0,0.1,49ers,0.0,0.0,0.0,0.0,0.0,0.0,6.0,RB,0.0,0.3,23.3,1.7,0.0,2.7,0.3,11.8,0.5
5266,2015.0,13,David Johnson,0.0,0.09090909090909091,Rams,0.0,0.0,0.0,0.0,0.0,0.0,6.181818181818182,RB,0.0,0.2727272727272727,21.90909090909091,1.7272727272727273,0.0,3.1818181818181817,0.36363636363636365,12.636363636363637,0.5454545454545454
5362,2015.0,14,David Johnson,0.0,0.08333333333333333,Min,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333333333,RB,0.0,0.3333333333333333,21.833333333333332,1.75,0.0,4.75,0.3333333333333333,19.833333333333332,0.5833333333333334
5440,2015.0,15,David Johnson,0.0,0.07692307692307693,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,7.461538461538462,RB,0.0,0.3076923076923077,22.53846153846154,2.0,0.0,5.846153846153846,0.3076923076923077,25.384615384615383,0.5384615384615384
5536,2015.0,16,David Johnson,0.0,0.07142857142857142,Packers,0.0,0.0,0.0,0.0,0.0,0.0,9.785714285714286,RB,0.0,0.2857142857142857,23.928571428571427,2.142857142857143,0.0,7.5,0.5,36.92857142857143,0.5714285714285714
5656,2015.0,17,David Johnson,0.0,0.06666666666666667,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,10.266666666666667,RB,0.0,0.26666666666666666,28.2,2.2,0.0,7.6,0.5333333333333333,37.06666666666667,0.5333333333333333
1445,2016.0,1,David Johnson,0.0,0.0,Patriots,0.0,0.0,0.0,0.0,0.0,0.0,18.0,RB,0.0,0.0,43.0,4.0,0.0,16.0,1.0,89.0,0.0
1536,2016.0,2,David Johnson,0.0,0.0,Buccaneers,0.0,0.0,0.0,0.0,0.0,0.0,18.0,RB,0.0,0.0,43.0,4.0,0.0,16.0,1.0,89.0,0.0
1621,2016.0,3,David Johnson,0.0,0.0,Bills,0.0,0.0,0.0,0.0,0.0,0.0,15.5,RB,0.0,0.0,70.5,3.5,0.0,14.0,0.5,67.0,0.0
1718,2016.0,4,David Johnson,0.0,0.0,LA,0.0,0.0,0.0,0.0,0.0,0.0,17.666666666666668,RB,0.0,0.0,56.333333333333336,3.3333333333333335,0.0,15.666666666666666,1.0,72.33333333333333,0.3333333333333333
1783,2016.0,5,David Johnson,0.0,0.25,49ers,0.0,0.0,0.0,0.0,0.0,0.0,16.0,RB,0.0,0.0,52.5,3.5,0.0,16.0,0.75,75.0,0.25
1858,2016.0,6,David Johnson,0.0,0.2,Jets,0.0,0.0,0.0,0.0,0.0,0.0,18.6,RB,0.0,0.0,47.6,3.4,0.0,18.2,1.0,91.4,0.4
1946,2016.0,7,David Johnson,0.0,0.16666666666666666,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,20.666666666666668,RB,0.0,0.0,44.166666666666664,3.3333333333333335,0.0,18.833333333333332,1.3333333333333333,94.66666666666667,0.3333333333333333
2046,2016.0,8,David Johnson,0.0,0.14285714285714285,Panthers,0.0,0.0,0.0,0.0,0.0,0.0,20.0,RB,0.0,0.0,46.142857142857146,4.0,0.0,20.857142857142858,1.1428571428571428,97.28571428571429,0.2857142857142857
