,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
348,2011.0,4,Chris Ogbonnaya,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
421,2011.0,5,Chris Ogbonnaya,0.0,0.0,Raiders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0
535,2011.0,7,Chris Ogbonnaya,0.0,0.0,Seahawks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.0
607,2011.0,8,Chris Ogbonnaya,0.0,0.0,49ers,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,RB,0.0,0.0,14.333333333333334,1.6666666666666667,0.0,2.0,0.0,7.0,0.0
692,2011.0,9,Chris Ogbonnaya,0.0,0.0,Texans,0.0,0.0,0.0,0.0,0.0,0.0,2.5,RB,0.0,0.0,16.75,2.5,0.0,4.25,0.0,14.5,0.25
739,2011.0,10,Chris Ogbonnaya,0.0,0.2,Rams,0.0,0.0,0.0,0.0,0.0,0.0,2.4,RB,0.0,0.0,16.0,2.2,0.0,6.0,0.0,17.2,0.4
813,2011.0,11,Chris Ogbonnaya,0.0,0.16666666666666666,Jaguars,0.0,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,RB,0.0,0.0,16.5,2.1666666666666665,0.0,8.166666666666666,0.0,29.333333333333332,0.3333333333333333
954,2011.0,12,Chris Ogbonnaya,0.0,0.14285714285714285,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,5.714285714285714,RB,0.0,0.0,16.857142857142858,2.142857142857143,0.0,10.0,0.14285714285714285,41.57142857142857,0.2857142857142857
1036,2011.0,13,Chris Ogbonnaya,0.0,0.125,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,5.125,RB,0.0,0.0,15.25,2.0,0.0,9.125,0.125,38.375,0.375
1121,2011.0,14,Chris Ogbonnaya,0.0,0.1111111111111111,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,4.777777777777778,RB,0.0,0.0,16.666666666666668,2.3333333333333335,0.0,8.222222222222221,0.1111111111111111,34.333333333333336,0.3333333333333333
1249,2011.0,15,Chris Ogbonnaya,0.0,0.1,Cardinals,0.0,0.0,0.0,0.0,0.0,0.0,4.6,RB,0.0,0.0,15.0,2.1,0.0,7.6,0.1,34.0,0.4
1329,2011.0,16,Chris Ogbonnaya,0.0,0.09090909090909091,Ravens,0.0,0.0,0.0,0.0,0.0,0.0,4.181818181818182,RB,0.0,0.0,13.909090909090908,2.0,0.0,6.909090909090909,0.09090909090909091,30.90909090909091,0.45454545454545453
