,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2012,1,Heath Miller,0,0,Broncos,0,0,0,0,0,0,11.0,TE,0,1,50,4,0,0,0,0,1,Broncos,0,0,1,Steelers,209,19,17.0,DST,75,5.0,0,284,1,0
1,2012,2,Heath Miller,0,0,Jets,0,0,0,0,0,0,7.0,TE,0,1,19,3,0,0,0,0,0,Jets,0,0,0,Steelers,265,27,4.0,DST,66,3.0,0,331,0,1
2,2012,3,Heath Miller,0,0,Raiders,0,0,0,0,0,0,18.0,TE,0,2,60,8,0,0,0,0,1,Raiders,0,2,0,Steelers,379,31,5.0,DST,54,1.0,0,433,0,0
3,2012,5,Heath Miller,0,0,Eagles,0,0,0,0,0,0,4.0,TE,0,0,41,4,0,0,0,0,0,Eagles,0,0,0,Steelers,220,16,4.0,DST,123,0.0,0,343,0,1
4,2012,6,Heath Miller,0,0,Titans,0,0,0,0,0,0,6.0,TE,0,0,67,6,0,0,0,0,1,Titans,1,0,1,Steelers,356,23,6.0,DST,56,1.0,0,412,0,0
5,2012,7,Heath Miller,0,0,Bengals,0,0,0,0,0,0,13.0,TE,1,1,53,6,0,0,0,0,1,Bengals,0,1,1,Steelers,264,24,8.0,DST,167,3.0,0,431,0,0
6,2012,8,Heath Miller,0,0,Redskins,0,0,0,0,0,0,10.0,TE,0,1,46,4,0,0,0,0,0,Redskins,0,0,0,Steelers,215,27,2.0,DST,140,1.0,0,355,0,1
7,2012,9,Heath Miller,0,0,Giants,0,0,0,0,0,0,4.0,TE,0,0,48,4,0,0,0,0,1,Giants,0,1,1,Steelers,191,24,15.0,DST,158,4.0,0,349,1,0
8,2012,10,Heath Miller,0,0,Chiefs,0,0,0,0,0,0,4.0,TE,0,0,47,4,0,0,0,0,0,Chiefs,0,1,0,Steelers,154,16,7.0,DST,95,1.0,0,249,0,1
9,2012,11,Heath Miller,0,0,Ravens,0,0,0,0,0,0,2.0,TE,0,0,22,2,0,0,0,0,0,Ravens,0,2,1,Steelers,175,10,22.0,DST,134,3.0,0,309,1,1
10,2012,12,Heath Miller,0,0,Browns,0,0,0,0,0,0,6.0,TE,0,0,63,6,0,0,0,0,1,Browns,0,5,3,Steelers,193,14,21.0,DST,49,1.0,0,242,0,0
11,2012,13,Heath Miller,0,0,Ravens,0,0,0,0,0,0,15.0,TE,0,1,97,5,0,0,0,0,1,Ravens,0,1,2,Steelers,270,23,9.0,DST,96,2.0,0,366,0,0
12,2012,14,Heath Miller,0,0,Chargers,0,0,0,0,0,0,6.0,TE,0,0,66,5,0,0,0,0,0,Chargers,0,1,1,Steelers,271,24,13.0,DST,69,2.0,0,340,1,1
