,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
2588,2011.0,6,Christian Ponder,0.0,0.0,Bears,0.0,17.0,9.0,0.0,0.0,99.0,3.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0
2602,2011.0,7,Christian Ponder,0.0,0.0,Packers,0.0,17.0,9.0,0.0,0.0,99.0,3.0,QB,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,1.0
2634,2011.0,8,Christian Ponder,0.0,0.0,Panthers,0.0,24.5,11.0,1.0,1.0,159.0,11.0,QB,0.0,0.0,0.0,0.0,0.0,2.5,0.0,19.5,0.5
2711,2011.0,10,Christian Ponder,0.0,0.0,Packers,0.0,25.666666666666668,13.333333333333334,0.6666666666666666,1.0,184.66666666666666,12.333333333333334,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,14.333333333333334,0.6666666666666666
2731,2011.0,11,Christian Ponder,0.0,0.0,Raiders,0.0,27.75,14.0,0.75,0.75,186.0,10.75,QB,0.0,0.0,0.0,0.0,0.0,2.75,0.0,15.0,0.75
2773,2011.0,12,Christian Ponder,0.0,0.0,Falcons,0.0,28.8,15.0,1.2,1.0,191.0,12.8,QB,0.0,0.0,0.0,0.0,0.0,3.2,0.0,26.2,0.6
2795,2011.0,13,Christian Ponder,0.0,0.0,Broncos,0.0,28.166666666666668,15.333333333333334,1.0,1.0,190.16666666666666,12.833333333333334,QB,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.333333333333332,0.6666666666666666
2854,2011.0,14,Christian Ponder,0.0,0.14285714285714285,Lions,0.0,30.857142857142858,17.285714285714285,1.1428571428571428,1.2857142857142858,217.42857142857142,15.142857142857142,QB,0.0,0.0,0.0,0.0,0.0,2.7142857142857144,0.0,21.714285714285715,0.5714285714285714
2887,2011.0,15,Christian Ponder,0.0,0.25,Saints,0.0,29.625,16.5,1.375,1.375,204.625,14.5,QB,0.0,0.0,0.0,0.0,0.0,2.625,0.0,20.625,0.625
2946,2011.0,16,Christian Ponder,0.0,0.2222222222222222,Redskins,0.0,29.77777777777778,16.22222222222222,1.3333333333333333,1.4444444444444444,195.22222222222223,14.777777777777779,QB,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,22.11111111111111,0.5555555555555556
