,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2016,1,Jerick McKinnon,0,0,Titans,0,0,0,0,0,0,0.0,RB,0,0,3,1,0,1,0,6,1,Titans,0,0,0,Min,236,25,1.0,DST,65,0.0,0,301,0,0
1,2016,2,Jerick McKinnon,0,0,Packers,0,0,0,0,0,0,0.0,RB,0,0,-1,1,0,2,0,2,0,Packers,0,1,0,Min,254,17,10.0,DST,30,4.0,0,284,0,1
2,2016,3,Jerick McKinnon,0,0,Panthers,0,0,0,0,0,0,6.0,RB,0,0,2,1,1,16,0,45,1,Panthers,0,0,0,Min,153,22,3.0,DST,58,2.0,0,211,0,0
3,2016,4,Jerick McKinnon,0,0,Giants,0,0,0,0,0,0,15.0,RB,0,0,10,3,0,18,1,85,0,Giants,0,0,0,Min,262,24,1.0,DST,104,0.0,0,366,0,1
4,2016,5,Jerick McKinnon,0,0,Texans,0,0,0,0,0,0,4.0,RB,0,0,10,1,0,20,0,36,0,Texans,0,0,0,Min,255,31,2.0,DST,96,2.0,0,351,0,1
5,2016,7,Jerick McKinnon,0,0,Eagles,0,0,0,0,0,0,4.0,RB,0,0,5,1,0,11,0,43,1,Eagles,0,3,1,Min,189,10,27.0,DST,93,6.0,0,282,1,0
6,2016,9,Jerick McKinnon,0,0,Lions,0,0,0,0,0,0,0.0,RB,0,0,0,0,0,7,0,8,0,Lions,1,0,0,Min,259,16,8.0,DST,78,2.0,0,337,0,1
7,2016,10,Jerick McKinnon,0,0,Redskins,0,0,0,0,0,0,2.0,RB,0,0,17,3,0,6,0,16,1,Redskins,0,0,1,Min,284,20,9.0,DST,47,3.0,0,331,0,0
8,2016,11,Jerick McKinnon,0,0,Cardinals,0,0,0,0,0,0,4.0,RB,0,0,-3,1,0,16,0,44,0,Cardinals,1,1,0,Min,145,30,6.0,DST,72,2.0,0,217,0,1
9,2016,12,Jerick McKinnon,0,0,Lions,0,0,0,0,0,0,7.0,RB,0,0,45,3,0,9,0,31,1,Lions,0,0,1,Min,224,13,9.0,DST,82,0.0,0,306,0,0
10,2016,13,Jerick McKinnon,0,0,Cowboys,0,1,0,0,0,0,11.0,RB,0,1,14,5,0,9,0,41,0,Cowboys,0,1,0,Min,231,15,9.0,DST,87,3.0,0,318,0,1
11,2016,14,Jerick McKinnon,0,0,Jaguars,0,0,0,0,0,0,6.0,RB,0,0,38,6,0,14,0,31,1,Jaguars,0,1,0,Min,292,25,3.0,DST,85,0.0,0,377,0,0
12,2016,15,Jerick McKinnon,0,0,Colts,0,0,0,0,0,0,6.0,RB,0,0,59,9,0,3,0,12,0,Colts,0,2,1,Min,248,6,21.0,DST,34,5.0,0,282,0,1
13,2016,16,Jerick McKinnon,0,0,Packers,0,0,0,0,0,0,8.0,RB,0,0,35,5,0,11,0,50,1,Packers,0,2,0,Min,353,25,9.0,DST,93,4.0,0,446,0,0
14,2016,17,Jerick McKinnon,0,0,Bears,0,0,0,0,0,0,22.0,RB,0,1,21,3,0,16,1,89,0,Bears,0,0,1,Min,250,38,2.0,DST,124,0.0,0,374,0,1
