,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2011,1,Darrius Heyward-Bey,0,0,Broncos,0,0,0,0,0,0,4.0,WR,0,0,44,4,0,0,0,0,1,Broncos,0,1,0,Raiders,99,23,10.0,DST,190,1.0,0,289,1,0
1,2011,3,Darrius Heyward-Bey,0,0,Jets,0,0,0,0,0,0,0.0,WR,0,0,5,1,0,0,0,0,0,Jets,0,0,0,Raiders,149,34,1.0,DST,234,1.0,0,383,0,1
2,2011,4,Darrius Heyward-Bey,0,0,Patriots,0,0,0,0,0,0,11.0,WR,0,0,115,4,0,0,0,0,0,Patriots,0,0,2,Raiders,344,19,8.0,DST,160,0.0,0,504,0,1
3,2011,5,Darrius Heyward-Bey,0,0,Texans,0,0,0,0,0,0,15.0,WR,0,1,99,7,0,0,0,0,1,Texans,0,0,1,Raiders,184,25,6.0,DST,94,3.0,0,278,0,0
4,2011,6,Darrius Heyward-Bey,0,0,Browns,0,0,0,0,0,0,8.0,WR,0,0,82,6,0,0,0,0,0,Browns,0,1,0,Raiders,178,24,5.0,DST,151,2.0,0,329,0,1
5,2011,7,Darrius Heyward-Bey,0,0,Chiefs,0,0,0,0,0,0,8.0,WR,0,0,89,5,0,0,0,0,0,Chiefs,0,0,6,Raiders,167,0,35.0,DST,155,1.0,0,322,2,1
6,2011,12,Darrius Heyward-Bey,0,0,Bears,0,0,0,0,0,0,4.0,WR,0,0,42,4,0,0,0,0,0,Bears,0,0,1,Raiders,268,25,7.0,DST,73,4.0,0,341,0,1
7,2011,13,Darrius Heyward-Bey,0,0,Dolphins,0,0,0,0,0,0,8.0,WR,0,1,23,3,0,0,0,0,1,Dolphins,0,0,1,Raiders,258,14,14.0,DST,46,2.0,0,304,1,0
8,2011,14,Darrius Heyward-Bey,0,0,Packers,0,0,0,0,0,0,7.0,WR,0,0,78,5,0,0,0,0,1,Packers,0,1,4,Raiders,240,16,21.0,DST,117,1.0,0,357,1,0
9,2011,15,Darrius Heyward-Bey,0,1,Lions,0,0,0,0,0,0,20.0,WR,0,1,155,8,0,0,0,0,0,Lions,1,1,0,Raiders,345,27,8.0,DST,132,3.0,0,477,0,1
10,2011,16,Darrius Heyward-Bey,0,0,Chiefs,0,0,0,0,0,0,7.0,WR,0,0,70,4,0,0,0,0,1,Chiefs,0,0,2,Raiders,237,16,8.0,DST,71,0.0,0,308,0,0
11,2011,17,Darrius Heyward-Bey,0,0,Chargers,0,0,0,0,0,0,19.0,WR,0,1,130,9,0,0,0,0,0,Chargers,0,0,1,Raiders,417,26,9.0,DST,103,0.0,0,520,1,1
