,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2013,1,Ed Dickson,0,0,Broncos,0,0,0,0,0,0,1.0,TE,0,0,13,1,0,0,0,0,1,Broncos,1,0,2,Ravens,335,27,11.0,DST,58,4.0,0,393,0,0
1,2013,4,Ed Dickson,0,0,Bills,0,0,0,0,0,0,1.0,TE,0,0,12,2,0,0,0,0,1,Bills,0,0,5,Ravens,321,20,18.0,DST,24,4.0,0,345,0,0
2,2013,5,Ed Dickson,0,0,Dolphins,0,0,0,0,0,0,5.0,TE,0,0,51,2,0,0,0,0,1,Dolphins,0,1,1,Ravens,251,26,13.0,DST,133,2.0,0,384,1,0
3,2013,7,Ed Dickson,0,0,Steelers,0,0,0,0,0,0,1.0,TE,0,0,17,2,0,0,0,0,1,Steelers,0,0,0,Ravens,205,16,5.0,DST,82,1.0,0,287,0,0
4,2013,9,Ed Dickson,0,0,Browns,0,0,0,0,0,0,0.0,TE,0,0,3,1,0,0,0,0,1,Browns,0,1,1,Ravens,223,18,13.0,DST,55,5.0,0,278,0,0
5,2013,10,Ed Dickson,0,0,Bengals,0,0,0,0,0,0,2.0,TE,0,0,28,3,0,0,0,0,0,Bengals,0,1,2,Ravens,104,20,15.0,DST,85,5.0,0,189,0,1
6,2013,11,Ed Dickson,0,0,Bears,0,0,0,0,0,0,1.0,TE,0,0,16,1,0,0,0,0,1,Bears,0,0,2,Ravens,143,20,17.0,DST,174,3.0,0,317,1,0
7,2013,12,Ed Dickson,0,0,Jets,0,0,0,0,0,0,5.0,TE,0,0,55,3,0,0,0,0,0,Jets,0,0,1,Ravens,245,19,10.0,DST,67,4.0,0,312,0,1
8,2013,13,Ed Dickson,0,0,Steelers,0,0,0,0,0,0,1.0,TE,0,0,16,1,0,0,0,0,0,Steelers,0,0,0,Ravens,237,22,3.0,DST,74,2.0,0,311,0,1
9,2013,15,Ed Dickson,0,0,Lions,0,0,0,0,0,0,1.0,TE,0,0,10,3,0,0,0,0,1,Lions,0,0,0,Ravens,215,18,5.0,DST,90,1.0,0,305,0,0
10,2013,16,Ed Dickson,0,0,Patriots,0,0,0,0,0,0,4.0,TE,0,0,44,4,0,0,0,0,0,Patriots,0,1,3,Ravens,237,7,31.0,DST,121,4.0,0,358,2,1
