,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent_x,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points_x,Position_x,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games_x,Team,Blocks,Fumble Returns,Interception,Opponent_y,Pass Yards Allowed,Point After,Points_y,Position_y,Rush Yards Allowed,Sack,Safety,Total Yards,Touchdowns,Away Games_y
0,2014,1,Steven Jackson,0,0,Saints,0,0,0,0,0,0,5.0,RB,0,0,0,1,0,12,0,52,0,Saints,0,1,0,Falcons,445,37,3.0,DST,123,1.0,0,568,0,1
1,2014,2,Steven Jackson,0,0,Bengals,0,0,0,0,0,0,4.0,RB,0,0,7,1,0,11,0,46,1,Bengals,0,0,3,Falcons,212,10,15.0,DST,97,2.0,0,309,0,0
2,2014,3,Steven Jackson,0,0,Buccaneers,0,0,0,0,0,0,11.0,RB,0,0,0,0,0,14,1,54,0,Buccaneers,0,3,1,Falcons,344,56,15.0,DST,144,1.0,0,488,1,1
3,2014,5,Steven Jackson,0,0,Giants,0,0,0,0,0,0,12.0,RB,0,0,37,5,0,13,1,37,1,Giants,0,0,1,Falcons,307,20,7.0,DST,90,1.0,0,397,0,0
4,2014,6,Steven Jackson,0,0,Bears,0,0,0,0,0,0,2.0,RB,0,0,0,0,0,6,0,25,0,Bears,0,0,1,Falcons,245,13,13.0,DST,42,4.0,0,287,0,1
5,2014,7,Steven Jackson,0,0,Ravens,0,0,0,0,0,0,2.0,RB,0,0,3,1,0,8,0,22,1,Ravens,0,1,0,Falcons,186,7,16.0,DST,68,5.0,1,254,0,0
6,2014,8,Steven Jackson,0,0,Lions,0,0,0,0,0,0,12.0,RB,0,0,0,0,0,18,1,60,0,Lions,0,0,1,Falcons,213,21,5.0,DST,78,2.0,0,291,0,1
7,2014,10,Steven Jackson,0,0,Buccaneers,0,0,0,0,0,0,15.0,RB,0,0,14,2,0,16,1,81,1,Buccaneers,0,0,0,Falcons,212,27,2.0,DST,110,1.0,0,322,0,0
8,2014,11,Steven Jackson,0,0,Panthers,0,0,0,0,0,0,4.0,RB,0,0,6,2,0,17,0,41,1,Panthers,0,1,0,Falcons,260,19,8.0,DST,86,2.0,0,346,0,0
9,2014,12,Steven Jackson,0,0,Browns,0,0,0,0,0,0,10.0,RB,0,0,17,2,0,13,1,34,0,Browns,0,1,1,Falcons,252,24,8.0,DST,63,3.0,0,315,0,1
10,2014,13,Steven Jackson,0,0,Cardinals,0,0,0,0,0,0,10.0,RB,0,0,0,0,0,18,0,101,0,Cardinals,0,0,1,Falcons,358,29,9.0,DST,142,1.0,0,500,1,1
11,2014,14,Steven Jackson,0,0,Packers,0,0,0,0,0,0,13.0,RB,0,0,26,2,0,16,1,50,1,Packers,1,0,1,Falcons,374,37,5.0,DST,91,1.0,0,465,0,0
12,2014,15,Steven Jackson,0,0,Steelers,0,0,0,0,0,0,5.0,RB,0,0,11,1,0,11,0,46,0,Steelers,0,0,1,Falcons,310,20,12.0,DST,97,0.0,0,407,1,1
13,2014,16,Steven Jackson,0,0,Saints,0,0,0,0,0,0,1.0,RB,0,0,14,1,0,4,0,9,1,Saints,0,0,0,Falcons,322,30,0.0,DST,81,0.0,0,403,0,0
