,Year,Week,Name,Fumble TD,Fumbles Lost,Opponent,Pass 2PT,Pass Attempts,Pass Completions,Pass Interceptions,Pass TD,Pass Yards,Points,Position,Receiving 2PT,Receiving TD,Receiving Yards,Receptions,Rush 2PT,Rush Attempts,Rush TD,Rush Yards,Away Games
10862,2014.0,1,Denard Robinson,0.0,0.0,Eagles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0,0.0,3.0,1.0,0.0,3.0,0.0,8.0,1.0
10955,2014.0,2,Denard Robinson,0.0,0.0,Redskins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,0.0,0.0,3.0,1.0,0.0,3.0,0.0,8.0,1.0
11060,2014.0,3,Denard Robinson,0.0,0.0,Colts,0.0,0.0,0.0,0.0,0.0,0.0,0.5,WR,0.0,0.0,8.5,1.5,0.0,1.5,0.0,4.0,1.0
11177,2014.0,4,Denard Robinson,0.0,0.0,Chargers,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,WR,0.0,0.0,5.666666666666667,1.0,0.0,3.6666666666666665,0.0,13.666666666666666,0.6666666666666666
11313,2014.0,5,Denard Robinson,0.0,0.0,Steelers,0.0,0.0,0.0,0.0,0.0,0.0,1.5,WR,0.0,0.0,6.0,1.5,0.0,5.0,0.0,16.5,0.75
11399,2014.0,6,Denard Robinson,0.0,0.0,Titans,0.0,0.0,0.0,0.0,0.0,0.0,1.2,WR,0.0,0.0,4.6,1.6,0.0,4.6,0.0,14.4,0.6
11449,2014.0,7,Denard Robinson,0.0,0.0,Browns,0.0,0.0,0.0,0.0,0.0,0.0,1.5,WR,0.0,0.0,6.166666666666667,1.8333333333333333,0.0,4.666666666666667,0.0,15.666666666666666,0.6666666666666666
11576,2014.0,8,Denard Robinson,0.0,0.0,Dolphins,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,WR,0.0,0.0,5.285714285714286,1.5714285714285714,0.0,7.142857142857143,0.14285714285714285,31.571428571428573,0.5714285714285714
11672,2014.0,9,Denard Robinson,0.0,0.0,Bengals,0.0,0.0,0.0,0.0,0.0,0.0,4.75,WR,0.0,0.0,5.875,1.5,0.0,8.5,0.125,41.125,0.5
11773,2014.0,10,Denard Robinson,0.0,0.0,Cowboys,0.0,0.0,0.0,0.0,0.0,0.0,6.0,WR,0.0,0.0,6.333333333333333,1.5555555555555556,0.0,9.444444444444445,0.2222222222222222,47.0,0.5555555555555556
12002,2014.0,12,Denard Robinson,0.0,0.1,Colts,0.0,0.0,0.0,0.0,0.0,0.0,7.2,WR,0.0,0.0,6.7,1.6,0.0,10.0,0.4,48.3,0.5
12109,2014.0,13,Denard Robinson,0.0,0.18181818181818182,Giants,0.0,0.0,0.0,0.0,0.0,0.0,7.0,WR,0.0,0.0,10.363636363636363,1.8181818181818181,0.0,10.363636363636363,0.36363636363636365,46.18181818181818,0.5454545454545454
12238,2014.0,14,Denard Robinson,0.0,0.16666666666666666,Texans,0.0,0.0,0.0,0.0,0.0,0.0,6.833333333333333,WR,0.0,0.0,10.333333333333334,1.9166666666666667,0.0,10.416666666666666,0.3333333333333333,46.0,0.5
